,degree,degree_centrality,closeness,betweenness,clustering,eigenvector,pagerank,average_neighbor_degree,graph_labels,average_rating,ratings_count,text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
230,5263,0.5358379148849521,0.6829844934288297,0.0009936713078782,0.2420061655441453,0.0270349846934709,0.0005890849526946,1739.3397301919058,1,4.13,365425,13117,6688,15653,71218,133222,175578
171,5839,0.594481775605783,0.711481347337921,0.001341640167595,0.2209822189467861,0.0288152665399543,0.0007755439744201,1658.260489809899,1,3.99,459826,11724,11386,25777,102144,178238,180404
471,4026,0.4098961514966402,0.6288897426046869,0.0004709888293781,0.2932612552569787,0.0224777380695777,0.0003616949276507,1918.8760556383504,1,3.84,205064,7046,4183,14784,59163,82001,64336
64,6224,0.6336794950111994,0.731892697466468,0.0017187026919615,0.2068020739052862,0.0296451862951661,0.001034639087685,1599.5885282776349,1,4.06,863879,30719,17547,42763,162573,314003,350994
1159,2216,0.2256159641620851,0.5634465351078476,8.110857947006019e-05,0.4409869530848905,0.0144839609185136,0.0001754782673534,2303.04738267148,1,4.07,80056,1790,1355,3708,15019,29243,31959
2679,1633,0.1662594176338831,0.5453334073621675,3.723299154779884e-05,0.5131096682396167,0.0114280090998324,0.0001083509646254,2513.7421922841395,1,3.56,35677,2273,1049,3687,12450,13101,6758
1060,2831,0.2882305029525555,0.5840518522923233,0.0001471802574921,0.3946258798037377,0.0179894266270736,0.0002015774144052,2216.942423172024,1,4.07,80434,7003,707,2771,16427,35960,29928
8457,637,0.0648544084707798,0.5166482562726842,3.0978812721810785e-06,0.6940997008382453,0.0052218400771899,3.760389696317065e-05,3092.642072213501,0,3.56,12480,1304,223,1139,5147,5205,2073
408,3744,0.3811850946854001,0.6177358490566037,0.0003612734629942,0.3185818656363673,0.0214003696510837,0.0003373180515103,1958.6776175213677,1,4.0,171558,7872,4352,9752,35299,68549,67491
261,3517,0.3580737120749338,0.6090407391331307,0.0003401663159461,0.3180505026293546,0.0200668874543411,0.000312772088168,1968.3539948820016,1,3.72,279264,3074,12008,22882,74910,93439,78597
1313,1734,0.1765424557116676,0.5482862565591158,5.013328103416334e-05,0.4669450007354355,0.0117979314096382,9.738370423924115e-05,2459.5634371395618,1,4.42,66079,2067,593,1088,6549,22048,40630
70,7529,0.7665444919568316,0.8107304993809328,0.0028053263523809,0.1772437753615527,0.0337409869533261,0.0015391922460657,1482.470181963076,1,4.3,813439,38054,15330,27612,103439,264207,462829
26,8284,0.8434127468947261,0.8646126760563381,0.0036614157865671,0.1623252538038589,0.0357910454638469,0.002001838991397,1421.369869628199,1,3.79,1447148,41560,71345,126493,340790,539277,479387
89,6458,0.6575035634290368,0.7448809343242834,0.0017326163776313,0.2051812564938131,0.030825421236989,0.0008731049093141,1596.6254258284298,1,4.25,628637,15630,12883,21641,89236,196047,338235
7,8430,0.8582773365913255,0.8758694489031568,0.0039201882505646,0.1579510493555337,0.0359748211309059,0.0022698722341124,1401.5009489916963,1,4.25,2071616,37653,46023,76784,288649,665635,1119718
92,5233,0.5327835471390755,0.6815626951634168,0.0009042568315685,0.2509906112175671,0.0273126906880597,0.0006286590517206,1755.3965220714697,1,3.93,524191,13668,14586,26538,115789,216316,176072
211,4610,0.4693545102830381,0.6533191432752428,0.0006394517943277,0.2783599380444466,0.0251294271821602,0.0004616919702346,1848.2804772234276,1,3.89,348196,12215,6804,20128,85934,139947,107525
127,4840,0.492771329668092,0.6634693326128074,0.0007477357982414,0.2631563621334235,0.0256718931580378,0.0005467557199744,1785.4336776859504,1,3.92,490504,10895,15111,25871,106453,189120,162511
76,6255,0.6368356750152718,0.7335872731346628,0.0016254276173971,0.2072811082761549,0.030033724839842,0.0009131517400927,1603.4732214228618,1,4.06,738894,11526,18430,34699,141987,272512,311754
344,4182,0.4257788637751985,0.6352347691113698,0.0004676961165031,0.2946247119378491,0.0233163498395676,0.0004554723502158,1893.4866092778573,1,4.08,201337,5096,2631,7051,37023,81934,76127
534,3939,0.401038485033598,0.6254059216809933,0.0003568612255954,0.3191392194655649,0.0228350853112386,0.0003689357373024,1979.1812642802745,1,4.04,150898,9013,1847,5695,30933,63930,54571
101,5577,0.5678069639584606,0.6982298997654084,0.0010127092900622,0.2387696547281582,0.0285271534552748,0.0007948911094661,1710.0857091626322,1,3.97,495736,14982,19718,29034,93427,178021,194076
4363,1670,0.1700264711871309,0.5463344087217711,3.715949781525132e-05,0.5152592358721741,0.0116626931603641,0.0001022129570437,2515.064670658682,1,3.76,20722,2536,201,1309,7431,11372,4708
2128,2132,0.2170637344736306,0.5608725445408862,7.947823767250787e-05,0.4432072602861537,0.0139512727628117,0.0001439225390678,2315.003752345216,1,4.0,45331,3713,594,2161,10029,19193,15965
67,6472,0.6589289350437793,0.745672638931066,0.0016482376326964,0.2057650382356272,0.0310289168341744,0.0011831223270997,1594.7059641532755,1,4.34,818742,43645,6509,18015,99030,295817,446694
544,3841,0.3910608837304011,0.6215275580585965,0.0004066672658371,0.308553951878851,0.0218690954834856,0.000328509408654,1968.9234574329605,1,4.18,195424,3220,3278,7217,33528,61997,94849
681,3860,0.3929953166361229,0.6222757222503801,0.0004048887031838,0.3066440472242399,0.0219466543713594,0.0003048416274123,1966.9681347150256,1,4.16,165127,4096,2773,5952,31155,57916,80195
1644,2146,0.218489106088373,0.5613212938621557,8.008671779750861e-05,0.4457910526876044,0.0142921054329924,0.000148164631485,2374.963653308481,1,3.98,59642,6128,1061,3450,13018,22443,21645
1386,2141,0.2179800447973936,0.5611609438381991,7.920469233352084e-05,0.4382666847093026,0.0139520591826583,0.0001561467390023,2307.9957963568427,1,3.86,67753,1394,792,3688,18693,27754,18746
3293,1570,0.1598452453675422,0.5433123133089943,3.463206139524847e-05,0.5042207093649653,0.0108908255671715,9.78019619481796e-05,2492.745859872612,1,4.01,30831,1096,214,965,7197,13926,10152
3579,1295,0.1318468743636733,0.5352880265954548,2.0852795465380692e-05,0.561139324354162,0.0095792688880127,7.224502092441313e-05,2705.7212355212355,1,3.65,29749,4306,788,3111,10181,11733,7206
4322,1428,0.1453879047037263,0.5391963109354414,3.372918806943124e-05,0.5172581997059511,0.01023995460041,8.26666913931511e-05,2661.7577030812326,0,3.33,20962,1453,1368,3581,8012,6165,3884
407,4364,0.4443086947668499,0.6428010471204189,0.0005418083042586,0.2830715669408174,0.0238208297660532,0.0005116992994667,1852.781393217232,1,3.92,192330,12134,4523,13395,43193,71190,67955
3456,1648,0.1677866015068214,0.5457879528784174,3.601928099625074e-05,0.5159498588195071,0.0114249615707431,0.0001124122033505,2484.2087378640776,1,3.53,29231,4245,605,3105,11178,12264,4409
33,7497,0.7632864996945632,0.8085947147443814,0.0026070583707651,0.1793773005466861,0.0339032845077391,0.0016204863218756,1492.6071762038148,1,4.08,1300209,25605,23500,59033,258700,517157,559782
37,8004,0.8149053145998778,0.8438144329896907,0.0035226953434278,0.1651614839837359,0.0347877020234282,0.0017663092437478,1433.1511744127936,1,4.19,1531800,15186,19309,55542,262038,513366,734629
136,5165,0.5258603135817552,0.6783617653152842,0.0008900350249211,0.2479776965108806,0.0266672828927667,0.0007377860478578,1741.1488867376572,1,3.79,465676,3867,15795,35314,120396,158451,140552
66,6550,0.6668702911830584,0.7501145562853215,0.001881634602273,0.1987390417976522,0.0308409543000396,0.0010222093559737,1571.4574045801526,1,4.28,873981,16050,19996,33136,116160,234290,493721
123,5916,0.6023213194868662,0.715472027972028,0.001381807493174,0.2206666220865003,0.0290751880443938,0.0008069178099663,1651.9685598377282,1,3.99,488269,3139,5075,20119,111543,190966,160652
84,6292,0.6406027285685196,0.7356201318154584,0.0015693869418606,0.2113225858836471,0.0304338159486673,0.0008751752979949,1617.8873172282265,1,3.96,447833,8143,15736,34222,138327,231583,230615
626,3199,0.3256974139686418,0.5972636059592581,0.0002877275562388,0.3330285554761191,0.0187481614018759,0.0002522411366398,2060.3644889027823,0,4.29,168001,2498,2857,6268,23676,42383,93663
620,3971,0.4042964772958664,0.6266828303451796,0.0004748156794015,0.3019282747019163,0.0224469803057248,0.0003313095730213,1956.9491312012087,1,4.12,157736,5582,3469,7966,27551,51373,72972
29,7740,0.7880268784361637,0.8251008064516129,0.0030808336451098,0.1698659061974435,0.0340865272741756,0.0015944970055723,1452.741214470284,1,3.73,1628519,14778,57980,153179,452673,519822,489235
75,5984,0.6092445530441866,0.7190336749633968,0.0014742480361514,0.2181907338171164,0.0293766461817935,0.0008665406961558,1645.1920120320856,1,3.75,736498,8157,28973,59309,198555,254836,212825
148,5506,0.5605782936265526,0.6947234403734616,0.0010316072556797,0.2365402386563349,0.0280185172035169,0.0007350462842255,1706.900653832183,1,3.85,467577,8011,11525,28287,123463,189656,139246
2671,1852,0.1885563021787823,0.5520458633093526,5.071635541955397e-05,0.4808573498885081,0.0128754079731473,0.0001223656379315,2502.011879049676,0,4.0,43936,1469,381,1670,10917,19654,15253
42,7350,0.7483200977397678,0.7989263055148853,0.0025534616921029,0.1811930541709131,0.0333290525550053,0.001456000927273,1500.3190476190475,1,4.04,1257121,17090,31645,70011,250794,426280,535563
453,4384,0.4463449399307677,0.6436435124508519,0.000532922697688,0.2857931523753853,0.0241643562136124,0.0004441914285917,1874.9338503649635,1,3.83,185979,4884,6078,14021,43914,68143,57981
1457,2792,0.2842598248829159,0.5828388321860907,0.0001689912493494,0.3856578502944893,0.0176693187272041,0.0001996143016115,2233.5139684813757,0,3.53,73093,2215,1959,9506,28844,25992,15298
228,4340,0.4418652005701486,0.6417929952953476,0.0005206477150222,0.2878967206655317,0.024008972866167,0.0004939916884386,1893.089400921659,1,3.4,323762,5121,17006,43014,116021,95951,56081
212,5682,0.5784972510690287,0.7034808766652342,0.0011583914065987,0.2304579490562445,0.0285856113978123,0.0008067049110874,1682.973600844773,1,3.88,347006,14815,11473,25462,77135,134788,116800
496,4712,0.4797393606190185,0.6577819448165014,0.0006812454169596,0.267714293642845,0.0252922825308544,0.0004394453949295,1830.369906621392,1,4.02,176062,5137,3977,10151,37279,63914,72553
222,4185,0.4260843005497862,0.6353580438579468,0.0005333788786953,0.2833414429664352,0.0228443278082713,0.000347251050693,1885.716845878136,1,3.98,327122,3899,10266,17695,65161,118463,124627
919,3156,0.3213194868662187,0.5957059679767104,0.0002310611737838,0.3553771248486017,0.0188795342418583,0.0002730212429867,2063.009505703422,1,3.83,103151,4044,3321,8054,24808,40446,32418
2015,2178,0.2217470983506414,0.5623497080041223,7.965400676540077e-05,0.4478007620363656,0.0145905816117639,0.0001347031002361,2395.3971533516988,0,3.51,56428,3458,4612,7891,15859,16846,15857
343,4338,0.4416615760537569,0.6417091336730694,0.0006107105969449,0.2801357676603678,0.023558757363943,0.0004084686831255,1868.745274319963,1,3.96,222712,1700,1613,8950,56426,90284,69588
15,7715,0.7854815719812666,0.8233716153910638,0.0029496448362591,0.1731281855161962,0.0343226323557781,0.0016036226811649,1466.2412184057032,1,4.1,1972666,20825,45225,91270,355756,656870,875372
133,6223,0.6335776827530034,0.7318381640712317,0.001552692770282,0.2102435397806986,0.0300574949824961,0.0008703745324899,1614.86212437731,1,4.23,502247,14041,8864,19531,80256,158725,265976
225,5214,0.5308491142333537,0.6806652806652806,0.0009350018560148,0.245781565678027,0.0269382631997547,0.0006165854240128,1736.107594936709,1,4.35,320919,14454,4183,9409,39153,96741,187196
58,7199,0.732946446752189,0.7892326235435918,0.0023231642529901,0.1861320231372631,0.033062891233726,0.0013342445058204,1518.475204889568,1,3.8,953758,12448,28467,76630,255722,344356,296316
179,5517,0.5616982284667074,0.695264387343385,0.0010619506775394,0.2365681498928159,0.0280255948323866,0.0007938192958622,1699.499728113105,1,4.07,392103,9798,7657,18327,73550,155775,164437
32,7816,0.7957646100590511,0.8304024349002367,0.0029530029188418,0.1720476591809965,0.0347136059413566,0.0017367260447246,1461.2799385875128,1,3.84,1467496,24642,46630,110856,355169,532291,473795
119,6619,0.6738953369985746,0.754088291746641,0.0017464642507094,0.2046671781204789,0.0317293294623052,0.0010946398975403,1592.2829732588004,1,4.06,607889,35925,13998,32561,116975,252942,267088
150,5376,0.5473427000610873,0.6883936080740117,0.0009485417552075,0.2421983665559247,0.0275547170155849,0.0008270237993496,1720.8072916666667,1,4.16,424981,17234,9470,19616,67878,146178,206075
468,4003,0.4075544695581348,0.62796496387699,0.0004233551702044,0.306539086190105,0.0228102106244867,0.0003869904283128,1950.7621783662253,1,3.87,181106,9005,5743,14231,44676,69779,63835
22,7683,0.7822235797189981,0.8211687985954351,0.0029502746446939,0.1734093228072825,0.0341488022671254,0.0017099538575702,1468.583365872706,1,3.77,1605173,36642,62777,131188,404699,583575,479323
180,4846,0.4933822032172673,0.6637383430193269,0.0007531695564822,0.2632642882728172,0.0257684640965476,0.0005817185114794,1795.8534874122988,1,3.99,372099,11518,10229,25529,83698,138837,160360
102,6318,0.6432498472816127,0.7370553804592526,0.0015655966201225,0.210643553527834,0.030607812758799,0.0009245399777111,1614.417537195315,1,4.22,620618,9102,15392,27532,93700,167043,332394
59,7126,0.7255141519038892,0.784630132609043,0.0023008819215405,0.1869429566056595,0.0327399388924386,0.0012679085836068,1523.5203480213304,1,4.15,1064521,13044,18450,41124,191415,346090,487763
461,4632,0.4715943799633476,0.6542765787370104,0.000686790836504,0.2700172562393034,0.0249423842231276,0.0004421877194333,1832.34866148532,1,3.97,182220,8259,5262,11487,38413,67056,71187
198,5520,0.5620036652412951,0.6954120645709431,0.0010666914916224,0.2363824836992629,0.0281185961241348,0.0007011001810411,1710.1,1,4.17,376766,9485,6298,14477,62380,140835,176975
271,5390,0.5487680716758297,0.6890697348112811,0.0009549585151803,0.2456002073900968,0.027951580400947,0.0006148625307349,1744.6322820037103,1,4.07,313044,11328,4223,14882,65106,122462,129526
740,2991,0.3045204642638974,0.5898036389839668,0.0001885404295362,0.373431554417992,0.0186700368130292,0.0002209574782557,2188.726178535607,1,4.33,124320,2016,2304,3046,15651,36875,71004
795,3121,0.3177560578293626,0.5944441082127943,0.0002249439985121,0.3539328288927776,0.0187511811201489,0.0002377408452225,2076.653316244793,1,3.79,101999,2794,1127,5639,32252,49493,23650
38,7441,0.7575850132355936,0.8048840449069901,0.0026748166133313,0.1803005145857086,0.0336323357501628,0.0014687678878149,1498.680956860637,1,3.95,746287,43382,44339,85429,257805,427210,493884
108,4799,0.4885970270820606,0.6616369147861233,0.0009156475962736,0.2503124999728563,0.0247346141702659,0.0005313357291765,1767.1385705355283,1,3.61,543658,11170,30705,56949,156636,166927,146787
955,2379,0.2422113622480146,0.5688966116420504,0.0001524232263355,0.3844418024125451,0.0147445967392,0.0001694821427699,2229.8802017654475,0,3.75,93498,2785,1635,7071,31036,35898,25078
1063,2200,0.2239869680309509,0.5630589314377437,0.0001083078907521,0.4008040845012195,0.0139192661038233,0.0001504391076171,2284.664090909091,1,3.77,88139,2306,1441,6585,28580,32779,24193
1436,2099,0.2137039299531663,0.5598176118552294,9.947829431069528e-05,0.409813833906109,0.0133400511144913,0.0001341102529564,2304.9666507860884,0,3.64,69007,2064,1277,6964,25200,23997,16302
952,2298,0.2339645693341478,0.5662400553441715,0.0001202558238581,0.3939182791494411,0.0143855691501383,0.0001592099067033,2253.559181897302,1,3.77,98130,2434,2341,7661,29880,34857,28882
308,3524,0.358786397882305,0.6093052109181142,0.000493606682111,0.299177160111774,0.019289134859379,0.0003169318198397,1928.4148694665157,1,3.83,278747,9510,8003,19319,76244,101810,88425
411,3062,0.3117491345958053,0.592329031479918,0.0002778577537765,0.3343105600877092,0.0177370930524705,0.0002515852940983,2052.1231221423905,1,3.82,200509,6772,4985,13344,56048,75290,59694
509,2596,0.264304622276522,0.5761379633974659,0.0001845440327931,0.3662670597421258,0.0155656435891202,0.0002070572279278,2148.9441448382127,1,3.76,170096,6838,3877,12970,52917,65379,47438
8384,717,0.0729993891264508,0.5188315461412498,3.430712830048553e-06,0.7121697326694872,0.0060364959502615,4.0171280379039646e-05,3185.4463040446303,0,3.57,12503,1869,391,1547,4680,5116,2714
126,5465,0.5564039910405213,0.6927145778968897,0.0010542023674565,0.2354134991875625,0.0274808422719796,0.0008365006371397,1690.9335773101554,1,4.19,485032,13239,13354,22778,74206,154771,260867
100,5804,0.5909183465689269,0.7096820809248555,0.0011802216992582,0.2290143065096323,0.0291652154131883,0.0009471677456907,1679.1226740179186,1,4.02,546502,19941,21699,33702,92590,175725,239071
398,3710,0.37772347790674,0.6164177231078197,0.0003366944278524,0.3249839575767838,0.0216986377695915,0.0003184985390457,2013.1256064690024,1,3.73,179347,5063,7881,12314,47602,69009,46555
372,4520,0.4601914070454083,0.6494313673631315,0.0005594765087899,0.2815603538256369,0.0247507130321423,0.0005152270205771,1849.4298672566367,1,4.08,191923,5776,2483,6620,37230,82749,75165
8627,844,0.0859295459173284,0.5224468085106383,8.252713885051918e-06,0.5814851045408803,0.0065215749765508,4.421987771873212e-05,2904.85663507109,0,4.11,5990,1577,105,371,2362,5830,4872
8218,1036,0.1054774994909387,0.5278374892519346,1.5209327446345091e-05,0.5418611157741593,0.0075715317971981,5.722693208702321e-05,2753.473938223938,0,3.95,12732,1380,346,933,3488,4763,5563
98,6747,0.6869273060476482,0.7615724587113282,0.0018209246590607,0.2011430803144668,0.0320449964844802,0.0010973402218567,1579.971246479917,1,4.22,563994,31423,4623,15781,91021,258236,279592
140,6467,0.6584198737527999,0.7453896941640737,0.0015901375893928,0.2096399761792375,0.0312782244145855,0.0009817586296516,1612.62702953456,1,4.2,443951,26766,3823,14773,78387,203297,226511
6,7740,0.7880268784361637,0.8251008064516129,0.0036385497943438,0.1691450030100237,0.0338229679269737,0.0016575675275462,1450.434754521964,1,4.26,2346404,140739,47994,92723,327550,698471,1311871
137,6170,0.6281816330686214,0.7289594775122458,0.0015552810132991,0.2142132737194625,0.0299615256349073,0.0008309666322684,1633.8212317666128,1,4.2,515547,36707,20998,27673,73126,147085,309960
99,5212,0.5306454897169619,0.6805709534368071,0.0013693987689526,0.2260698301441266,0.0252927886266932,0.0006259254823934,1672.027436684574,1,3.87,552059,28052,37245,58935,114203,150906,262051
1,9342,0.9511301160659744,0.953407105416424,0.0063921176044685,0.1391882404331096,0.0375387143015366,0.0035044116210784,1317.4191821879683,1,4.34,4780653,155254,66715,127936,560092,1481305,2706317
1076,2994,0.304825901038485,0.5899099099099099,0.0002132762374694,0.3499113161170319,0.0174226582935636,0.0002701361957472,2028.7221108884437,1,3.45,79762,10214,2615,9810,36492,36673,10774
1396,2536,0.2581958867847689,0.5741173719897125,0.0001598961426014,0.3708037008692189,0.0150582710130951,0.0001691004680026,2113.5256309148267,1,4.03,76219,1539,2258,3971,15654,26532,32441
5328,899,0.0915292201181022,0.5239797279274473,1.3718415649169215e-05,0.5469898501428214,0.0062096313294681,5.3478007481893054e-05,2661.796440489433,0,4.23,24032,2859,201,680,3764,9571,11577
24,8726,0.8884137650173081,0.8996153141601025,0.004605077386962,0.1509071266780369,0.0363917205670488,0.0024126712176728,1371.398235159294,1,4.53,1753043,31084,6676,20210,151785,494926,1195045
495,4064,0.4137650173080839,0.630423620025674,0.0004378370699808,0.3018750205910454,0.0228476539063712,0.0004269332742674,1913.2381889763776,1,3.68,145459,8673,7877,15434,35148,50148,41172
45,7226,0.7356953777234779,0.7909486229666614,0.0022429801750206,0.1874334606768905,0.0333461989220758,0.0014423917553462,1521.9076944367562,1,3.88,1003228,42962,39768,74331,218702,384164,360466
516,3929,0.4000203624516392,0.6250079541839008,0.0003833753610133,0.3172964726751157,0.0226290717407237,0.0003977755602094,1968.1394756935608,1,4.17,147717,9326,2958,7191,22236,52498,71720
5,8710,0.8867847688861739,0.8982988842143772,0.0044594639812683,0.1521761077228658,0.0365702164952104,0.0025598169765664,1376.4061997703789,1,3.89,2683664,51992,86236,197621,606158,936012,947718
2,9211,0.9377927102423133,0.9414358286207228,0.0056377995363237,0.1418938150592025,0.0373841797769881,0.0032826521797603,1330.007382477473,1,4.44,4602479,75867,75504,101676,455024,1156318,3011543
13,8157,0.8304825901038485,0.8550535387829721,0.0034920879684476,0.1635946595633041,0.035392812034051,0.0021355755622047,1424.307098197867,1,4.14,1956832,45518,41845,86425,324874,692021,908229
21,8699,0.8856648340460191,0.897396071265418,0.0045098817831166,0.1515230869272377,0.0363592332673952,0.0023469174951372,1374.1542706058167,1,4.46,1735368,28685,9528,31577,180210,494427,1124806
14,8279,0.8429036856037467,0.864232292124945,0.0036819118848235,0.1606673822090263,0.0356341707236104,0.0020856332009317,1412.3903853122358,1,3.87,1881700,35472,66854,135147,433432,698642,648912
27,8708,0.8865811443697821,0.898134601316752,0.0045975950031532,0.1510879714466879,0.0363360013466549,0.0023355348125736,1372.2135966926965,1,4.54,1678823,27520,7308,21516,136333,459028,1161491
65,6682,0.6803095092649155,0.757753433112174,0.0018906755081948,0.1992427743984076,0.0315531557693964,0.0012668938967556,1564.280305297815,1,4.06,846488,19646,24964,45518,152442,300948,367890
80,6212,0.6324577479128487,0.7312388326384753,0.0016147264408431,0.2102763484970426,0.0300060327164226,0.0008537010096134,1610.8586606567933,1,4.28,738757,24537,15039,32866,114714,228440,468227
483,3351,0.3411728772144166,0.6028355735591971,0.0002690724701117,0.3475628126155258,0.0199784182020538,0.0003119657618997,2052.253655625186,1,3.98,152906,5297,2841,9398,34950,56515,58993
23,8758,0.8916717572795765,0.9022597832077898,0.0046206697635864,0.1506607195892716,0.0365199311195479,0.0024442701193322,1370.2056405572048,1,4.37,1779331,34172,8253,42251,242345,548266,1065084
18,8736,0.889431887599267,0.9004400440044005,0.0045714868421702,0.1509257366369558,0.0364507841805071,0.0024359265543116,1371.4244505494505,1,4.53,1832823,36099,6716,20413,166129,509447,1266670
1096,2634,0.2681734880879657,0.5774250440917108,0.0001437769792445,0.3950290988652005,0.0166848476305753,0.0001878368554959,2230.0941533788914,1,4.02,74511,1378,1072,3011,16474,31432,27566
9,8236,0.8385257585013236,0.8609747545582047,0.0037902043783881,0.162491149817482,0.0355615760310338,0.001889623961402,1422.2424720738222,1,3.85,2001311,25112,77841,145740,458429,716569,680175
4009,1335,0.1359193646915088,0.5364574799279043,2.623032679479612e-05,0.5313264715956628,0.0097995047625234,7.48129423571713e-05,2732.424719101124,0,2.8,22278,943,3921,5722,7219,3904,2506
354,4463,0.4543881083282427,0.6469929517159607,0.0005846610848076,0.2796061204667733,0.0243638503761855,0.0004978561420399,1848.370378669057,1,3.77,233825,7749,12441,21409,53863,79915,77470
1269,2631,0.2678680513133781,0.5773232234173867,0.0001403345278536,0.3939123032922756,0.0168481394275107,0.0001552104441205,2263.700114025085,1,4.1,72207,3904,865,2675,14163,29413,29499
5397,848,0.086336794950112,0.522557991061928,6.815005255845015e-06,0.6380259963021541,0.0069441299725608,4.728360049315967e-05,3134.248820754717,1,3.51,17173,531,717,2101,5867,5405,3625
2408,1165,0.1186112807982081,0.5315222685210239,2.253582156046088e-05,0.5362402843531997,0.0087007124416381,6.31590515521399e-05,2788.845493562232,0,3.6,41177,2237,1796,5239,12807,13839,10998
196,4653,0.4737324373854612,0.6551931158695217,0.0006545684159774,0.271872694120732,0.025014862164319,0.0005280845549644,1823.6423812594023,1,4.2,365349,11176,4578,12632,58110,139554,173780
621,4090,0.4164121360211769,0.6314774334576315,0.000507853590622,0.2897128140918356,0.0226170452608986,0.0003453135113677,1906.6012224938877,1,3.89,151789,5168,3588,10014,40314,55092,53075
25,8694,0.8851557727550396,0.896986301369863,0.0045669005595283,0.1514977941287965,0.0363269184999918,0.0023605327759642,1374.0243846330802,1,4.61,1746574,51942,9363,22245,113646,383914,1318227
50,6837,0.696090409285278,0.7669243382525182,0.0020173438263142,0.1947576317995062,0.0319908265085958,0.0011842282301483,1554.0188679245282,1,4.29,1016888,9234,16590,30792,139024,293222,544153
36,7793,0.7934229281205457,0.8287908193401401,0.0031452636948852,0.1709075709233079,0.0344105449142428,0.0016838760691691,1458.1165148209932,1,4.12,1296825,54084,26497,59652,225326,448691,585279
660,3893,0.3963551211565873,0.6235794552726811,0.0004334884054379,0.2983952275264666,0.021652045703104,0.0003354179249849,1919.350372463396,1,3.55,129811,1587,2910,13893,48006,45059,24554
1117,3193,0.3250865404194665,0.5970457722934776,0.0002660442249287,0.3364178925233534,0.0186242988558139,0.0002387729223428,2045.0363294707167,1,3.72,83389,2426,1339,7287,28723,33791,21627
2193,1979,0.2014864589696599,0.5558888448695455,6.659104933352571e-05,0.4631206025246892,0.013644632160119,0.0001173636969899,2478.8635674583124,0,3.18,37497,2616,2082,8007,18544,11883,4144
2302,1854,0.1887599266951741,0.5521079258010118,6.192128794009036e-05,0.4582882884456297,0.0126738252894188,0.0001026572784448,2474.4568500539376,0,3.44,38992,2290,3596,7106,13480,11819,11721
570,3783,0.3851557727550397,0.6192547758653301,0.0003459177668127,0.3228988042892212,0.021880977194404,0.0003339363677492,1977.4279672217815,1,3.94,134849,4792,1587,6973,34435,63435,44499
1421,2592,0.2638973732437385,0.5760028149190711,0.0001331101428952,0.4017860971739783,0.0167076811890915,0.0001712178856365,2273.440200617284,1,3.41,59843,4553,2135,8570,25521,22277,9173
484,3617,0.3682549378945225,0.612840831097523,0.0003787476944193,0.3208739886132594,0.0208728091562495,0.0003243964485196,1996.0340060823887,1,3.69,154643,5328,4541,13841,46314,60868,37399
1389,2247,0.2287721441661576,0.5645801000172443,0.000125345405457,0.4097978069899076,0.0145531083100976,0.0001406157056562,2320.6724521584333,1,3.6,58428,2196,1633,6299,19618,21016,12803
951,2398,0.2441457951537365,0.5695233677374464,0.0001427006466325,0.4046398003064019,0.0153518934859887,0.0001700133929752,2278.756880733945,1,3.93,49551,3078,903,4759,20844,34767,26958
